targetId,comparatorId,outcomeId,outcomeName,type
1794964,1797490,4333677,Mania,outcome
1794964,1797490,433244,Tooth loss,outcome
1794964,1797490,441487,Frostbite,outcome
1794964,1797490,4085062,Fear of flying,outcome
1794964,1797490,197036,Vesicoureteric reflux,outcome
1794964,1797490,258540,Marfan's syndrome,outcome
1794964,1797490,4202045,Postviral fatigue syndrome,outcome
1794964,1797490,194475,Hiccoughs,outcome
1794964,1797490,4012934,Homocystinuria,outcome
1794964,1797490,377283,Conjunctival hyperemia,outcome
